CR,LP,account,ads,spend,sheetCV_LP,v2CV,apiCV,sheetCPA,v2CPA,apiCPA
"CR178_横展開","LP1-CR01155",AI_1,1,34995,2,2,5,17498,17498,6999
"未来人","LP1-CR01101",AI_1,1,28399,0,0,6,,,4733
"AI全部やめました渋谷Ver","LP1-CR01199",AI_1,1,26442,1,0,3,26442,,8814
"CR01131_CR01172_CR01169_CR01161_CR01144_CR01165","LP1-CR01198",AI_3,1,26337,2,0,6,13169,,4390
"CR178_横展開","LP1-CR01157",AI_2,1,24894,1,1,6,24894,24894,4149
"【ねねさん】Claude_Code","LP1-CR01212",AI_1,1,24232,9,9,9,2692,2692,2692
"手動DF_Smart+","LP1-CR01185",AI_1,1,20023,1,1,5,20023,20023,4005
"CR454_横展開","LP1-CR01151",AI_1,1,19965,1,1,0,19965,19965,
"CR454_横展開","LP1-CR01152",AI_3,1,19925,1,1,5,19925,19925,3985
"CR454_横展開","LP1-CR01148",AI_3,1,19855,1,1,5,19855,19855,3971
"【ねねさん】Claude_Code","LP1-CR01184",AI_1,1,19851,1,1,5,19851,19851,3970
"CR178_横展開","LP1-CR01158",AI_2,1,19422,0,0,0,,,
"緊急動画","LP2-CR00244",AI_3,1,18730,5,5,7,3746,3746,2676
"一撃YouTube動画作成_途中CTAあり","LP1-CR01165",AI_1,1,16445,0,0,0,,,
"一撃YouTube動画作成_途中CTAあり","LP1-CR01164",AI_1,1,16410,0,0,0,,,
"CR454_横展開","LP1-CR01146",AI_1,1,15985,0,0,0,,,
"一撃YouTube動画作成_途中CTAあり","LP1-CR01053",AI_1,1,15827,0,0,5,,,3165
"CR454_横展開","LP1-CR01149",AI_1,1,15575,1,1,5,15575,15575,3115
"CR454_横展開","LP1-CR01191",AI_2,1,12260,0,0,0,,,
"箕輪さんまとめ","LP4-CR00015",AI_2,1,10488,1,1,3,10488,10488,3496
"ClaudeCodeレベル","LP1-CR01060",AI_1,1,10412,0,0,4,,,2603
"CR454_横展開再出稿","LP1-CR01208",AI_2,1,10136,1,1,3,10136,10136,3379
"AIまとめ（休日ブースト）","LP2-CR00238",AI_3,1,10036,0,0,0,,,
"おい会���員_1年後悔","LP1-CR01207",AI_1,1,9717,2,2,0,4859,4859,
"CR454_横展開","LP1-CR01207",AI_2,1,9498,2,2,3,4749,4749,3166
"やれやめろ＿編集強化","LP1-CR01206",AI_1,1,9487,0,0,0,,,
"CR454_横展開","LP1-CR01210",AI_2,1,9412,0,0,0,,,
"AI全部やめました渋谷Ver","LP1-CR01202",AI_1,1,9219,0,0,0,,,
"AI全部やめました渋谷Ver","LP1-CR01201",AI_1,1,9183,0,0,0,,,
"AI全部やめました渋谷Ver","LP1-CR01203",AI_1,1,9138,0,0,0,,,
"箕輪さんまとめ","LP4-CR00014",AI_1,1,9128,0,0,0,,,
"CR01131_CR01172_CR01169_CR01161_CR01144_CR01165","LP1-CR01192",AI_1,1,9111,0,0,0,,,
"箕輪さんまとめ","LP4-CR00016",AI_3,1,9054,2,2,2,4527,4527,4527
"AI全部やめました渋谷Ver","LP1-CR01205",AI_1,1,9028,0,0,0,,,
"AI全部やめました渋谷Ver","LP1-CR01200",AI_1,1,9021,0,0,0,,,
"二極化(副業会社員)","LP2-CR00246",AI_3,1,8826,5,5,5,1765,1765,1765
"横展開CR","LP1-CR01211",AI_1,1,8017,1,1,3,8017,8017,2672
"横展開CR","LP2-CR00241",AI_3,1,7932,1,1,2,7932,7932,3966
"AIまとめ1","LP1-CR01102",AI_2,1,7349,0,0,2,,,3675
"Claudeが重要","LP1-CR01215",AI_1,1,6624,6,6,3,1104,1104,2208
"2026年AIツール_全ツール紹介_CTAあり","LP1-CR01103",AI_1,1,6318,0,0,1,,,6318
"AI副業の嘘2（AI訴求）毎日投稿","LP1-CR01108",AI_1,1,6018,0,0,4,,,1505
"ClaudeCode解説","LP1-CR01106",AI_1,1,5975,0,0,1,,,5975
"ClaudeCode解説","LP1-CR01107",AI_2,1,5200,0,0,2,,,2600
"二極化_SORA2_冒頭1_中間2-2","LP1-CR01104",AI_1,1,4513,0,0,0,,,
"スマプラ","LP1-CR01214",AI_2,1,3919,3,3,2,1306,1306,1960
"箕輪さんまとめ","LP4-CR00001",AI_2,1,3128,0,0,0,,,
"箕輪さん→3兆円企業","LP1-CR01213",AI_1,1,3066,0,0,0,,,
"スマプラ","LP2-CR00247",AI_3,1,3024,1,1,1,3024,3024,3024
"正直に答えてね","LP2-CR00245",AI_3,1,3010,0,0,0,,,
"一撃YouTube動画作成_途中CTAあり","LP1-CR01096",AI_2,1,1673,0,0,0,,,
"全部やめました-渋谷Ver","LP1-CR01095",AI_2,1,1432,0,0,1,,,1432
"尻込み_ちえみさん","LP1-CR01094",AI_2,1,1101,0,0,0,,,
