広告ID,広告名,広告セット名,キャンペーン名,訴求名,登録経路,インプレッション,クリック,消費額,CV数,フロント販売本数,CPM,CTR(%),CVR(%),CPA,フロントCPO
1.84987E+15,箕輪 さん切り抜きTiktTok⑥【AI訴求】これ間違いです_kq6heKXc.mp4,広告セット ,11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071,AI,,3577,6,4076,0,0,1139.5,0.1677,0,0,0
1.84924E+15,251119/清水絢吾/新セミナーダイジェスト/UGC_CTAなし_BGM1/LP2-CR00105,2個の1118_広告セット 20251113110929をコピー,251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108,Unknown,,2578,24,3984,0,0,1545.38,0.931,0,0,0
1.84987E+15,【AI】年商30億社長の1日6_KyqM8GNo.mp4,5個の広告セット をコピー,251119 AI スマ 年商30億企業の社長  LP2-CR00076-83,AI,,3333,35,3768,0,0,1130.51,1.0501,0,0,0
1.84923E+15,251119/清水絢吾/新セミナーダイジェスト/権威_CTAなし_BGM1/LP2-CR00103,1118_広告セット 20251113110929,251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108,Unknown,,1834,22,3736,0,0,2037.08,1.1996,0,0,0
1.8499E+15,アルゴリズム破壊ver2 TT4_H0WMB2sp.mp4,広告セット 20250902064213,251115/セン/SNSまとめ(ガチャ)/LP2-CR00036,SNS,,4586,19,3383,0,0,737.68,0.4143,0,0,0
1.84987E+15,【TikTok】冒頭②_V2OPzfsy.mp4,広告セット ,【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141,AI,,2732,13,3336,0,0,1221.08,0.4758,0,0,0
1.84987E+15,【11月特典】林社長 問題ないです ChatGPT,広告セット ,【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141,AI,,4537,16,3223,0,0,710.38,0.3527,0,0,0
1.84987E+15,250902/鈴木織大/パクるやつ多すぎ/冒頭カミナリ,広告セット 20251108104919,251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661,AI,TikTok広告-AI-冒頭カミナリ,2348,10,3182,0,0,1355.2,0.4259,0,0,0
1.84987E+15,TT冒頭1ver_1_RWQBy0mp.mp4,広告セット ,11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071,AI,,2496,14,3104,0,0,1243.59,0.5609,0,0,0
1.85005E+15,Meta9_(冒頭③_権威製2_オファーあり_社会証明あり_CTA別あり)_WRp8QI4v.mp4,広告セット 20251108104919,251128 AI スマ AIまとめ(二極化 1年後悔)  LP2-CR00138,AI,,26444,85,2969,0,0,112.27,0.3214,0,0,0
1.84983E+15,【TikTok】林社長①→アルゴリズム_eICM0B24.mp4,251126　ノンタゲ,251126 セン タゲ CR584～CR585　林社長→アルゴリズム,SNS,,1690,301,2969,0,0,1756.8,17.8107,0,0,0
1.8499E+15,問題ないです_トイレver_B1_TT_fp3IZU4b.mp4,広告セット 20250902064213,251115/セン/SNSまとめ(ガチャ)/LP2-CR00036,SNS,,3795,11,2945,0,0,776.02,0.2899,0,0,0
1.84923E+15,251119/清水絢吾/正直に答えてね/Claude使ったことある/LP2-CR00088,Claude,251119 AI スマ 正直に答えてね  LP2-CR00084-91,AI,TikTok広告-AI-LP2-CR00088,4052,20,2936,0,0,724.58,0.4936,0,0,0
1.8499E+15,アルゴリズム破壊ver2 TT2_xTCYAzJV.mp4,広告セット 20250902064213,251115/セン/SNSまとめ(ガチャ)/LP2-CR00036,SNS,,2711,11,2882,0,0,1063.08,0.4058,0,0,0
1.84987E+15,パクるやつ多すぎ/ループ1秒,広告セット 20251108104919,251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661,AI,,3191,22,2861,0,0,896.58,0.6894,0,0,0
1.84856E+15,251111/清水絢吾/これから化ける AI//LP2-CR00063,ALL配信,1個の251111 AI スマ これから化ける  LP2-CR00063,AI,TikTok広告-AI-LP2-CR00063,2040,78,2814,0,0,1379.41,3.8235,0,0,0
1.84987E+15,AIの法則_テストなし_AI_IxKarlVL.mp4,広告セット 20251108104919,251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661,AI,,3479,13,2561,0,0,736.13,0.3737,0,0,0
1.84983E+15,【TikTok】林社長②→アルゴリズム.mp4,251126　ノンタゲ,251126 セン タゲ CR584～CR585　林社長→アルゴリズム,SNS,,1934,317,2361,0,0,1220.79,16.3909,0,0,0
1.8499E+15,1.料理たとえ食堂冒頭1tiktok.mp4,広告セット 20250902064213,251115/セン/SNSまとめ(ガチャ)/LP2-CR00036,SNS,,2184,9,2247,0,0,1028.85,0.4121,0,0,0
1.84987E+15,TT冒頭2ver_1_QEapHUrj.mp4,広告セット ,11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071,AI,,2471,7,2154,0,0,871.71,0.2833,0,0,0
1.84855E+15,＃納品_まちがっている_セミナー_強化あり_TT-_08ASF2DM.mp4_CR00059,広告セットCR00059-65,251109/セミ/間違っているパターン/LP2-CR00059-65,Unknown,,1722,6,1910,0,0,1109.18,0.3484,0,0,0
1.84987E+15,AIで売上3兆円を目指す_lXTaDbVS.mp4,広告セット ,【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141,AI,,2293,18,1870,0,0,815.53,0.785,0,0,0
