日付,広告セットID,広告セット名,キャンペーン名,インプレッション,クリック,コンバージョン,CTR(%),CVR(%),消費額,CPA
2025-12-01,"1837139156752402","広告セット 20250709124036","7/9 AI CR405 スマ プロンプト全部捨てた",0,0,0,0,0,0.00,0
2025-12-01,"1847479663662210","広告セット 20250902064213","251031/セン/SNSまとめ(休日強化(林社長)_SNS1ピクセル)/LP1-CR00559",0,0,0,0,0,0.00,0
2025-12-01,"1849237315700801","5個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108",2885,27,0,0.9359,0.0000,4864.00,0
2025-12-02,"1849237315700801","5個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108",3576,13,0,0.3635,0.0000,5012.00,0
2025-12-02,"1848584255139906","広告セット 20251112083558","251112/セミ/セミまとめ/LP2-CR00087",0,0,0,0,0,0.00,0
2025-12-01,"1849227464229906","ChatGPT","251119 AI スマ 正直に答えてね  LP2-CR00084-91",0,0,0,0,0,0.00,0
2025-12-01,"1849840325997633","251127 ノンタゲ","251127/AI/ヒカルさんCR/LP1-CR00667～CR00669",44301,195,0,0.4402,0.0000,40920.00,0
2025-12-02,"1849840325997633","251127 ノンタゲ","251127/AI/ヒカルさんCR/LP1-CR00667～CR00669",42541,190,0,0.4466,0.0000,43042.00,0
2025-12-01,"1848545700919330","251020　ノンタゲ","1個の1個の1個の【複製_251103】251020 AI タゲ CR624～CR628　生意気なスタッフをコピーをコピーをコピー",0,0,0,0,0,0.00,0
2025-12-01,"1849738178001970","1個の広告セットCR00040をコピー","251105/AI/タゲ/ホリエモンCR/LP2-CR00038-40",58174,6167,0,10.6010,0.0000,61960.00,0
2025-12-02,"1849738178001970","1個の広告セットCR00040をコピー","251105/AI/タゲ/ホリエモンCR/LP2-CR00038-40",149252,740,0,0.4958,0.0000,99535.00,0
2025-12-01,"1848682957003906","広告セット 20251113104424","251113/セミ/スマ/おい会社員(穏)_冒頭テスト/LP1-CR00088-95",0,0,0,0,0,0.00,0
2025-12-02,"1847478180690129","広告セット 20250911021302","251031/セミ/スマ/セミまとめ/LP1-CR00020",0,0,0,0,0,0.00,0
2025-12-01,"1848015559126034","広告セットCR00045","251106/AI/タゲ/箕輪さんCR/LP2-CR00041-46",0,0,0,0,0,0.00,0
2025-12-01,"1847731448628242","広告セットCR00033","【複製_1103】251101/AI/タゲ/AIで売上3兆円を目指す/LP2-CR00033/34",0,0,0,0,0,0.00,0
2025-12-01,"1844939727463601","広告セット ","010/03 AI スマ AIまとめ(1004休日強化)  LP2-CR00022",0,0,0,0,0,0.00,0
2025-12-02,"1844939727463601","広告セット ","010/03 AI スマ AIまとめ(1004休日強化)  LP2-CR00022",0,0,0,0,0,0.00,0
2025-12-01,"1850034732528817","起業","251121 AI スマ 二極化 検証  LP2-CR00092-95",3763,13,0,0.3455,0.0000,4507.00,0
2025-12-02,"1850034732528817","起業","251121 AI スマ 二極化 検証  LP2-CR00092-95",2,0,0,0.0000,0,4.00,0
2025-12-01,"1849742089805906","2個の1個の1118_広告セット 20251113110929をコピーをコピー","1個の251120/セミ/スマ/開催決定強化/LP2-CR00127-130",0,0,0,0,0,0.00,0
2025-12-02,"1849742089805906","2個の1個の1118_広告セット 20251113110929をコピーをコピー","1個の251120/セミ/スマ/開催決定強化/LP2-CR00127-130",0,0,0,0,0,0.00,0
2025-12-01,"1839885657933825","広告セット 20250808081532","8/9 セン CR426 SNSまとめ",0,0,0,0,0,0.00,0
2025-12-01,"1849237315698753","1個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108",0,0,0,0,0,0.00,0
2025-12-01,"1849448516060322","広告セット ","1個の251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035をコピー",0,0,0,0,0,0.00,0
2025-12-02,"1849448516060322","広告セット ","1個の251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035をコピー",0,0,0,0,0,0.00,0
2025-12-01,"1849742089805938","3個の1個の1118_広告セット 20251113110929をコピーをコピー","1個の251120/セミ/スマ/開催決定強化/LP2-CR00127-130",0,0,0,0,0,0.00,0
2025-12-02,"1849742089805938","3個の1個の1118_広告セット 20251113110929をコピーをコピー","1個の251120/セミ/スマ/開催決定強化/LP2-CR00127-130",0,0,0,0,0,0.00,0
2025-12-01,"1849941161890833","251128　ノンタゲ","251128 セン タゲ CR586～CR587　ピザ→問題ないです",2785,39,0,1.4004,0.0000,7500.00,0
2025-12-02,"1849941161890833","251128　ノンタゲ","251128 セン タゲ CR586～CR587　ピザ→問題ないです",3013,38,0,1.2612,0.0000,7340.00,0
2025-12-01,"1839884438688802","1個の広告セット 20250808072953をコピー","8/9 AI CR437 タゲ AIまとめ(Pangle)",0,0,0,0,0,0.00,0
2025-12-02,"1839884438688802","1個の広告セット 20250808072953をコピー","8/9 AI CR437 タゲ AIまとめ(Pangle)",0,0,0,0,0,0.00,0
2025-12-01,"1849741859533857","1個の1118_広告セット 20251113110929をコピー","1個の251120/セミ/スマ/開催決定強化/LP2-CR00127-130",0,0,0,0,0,0.00,0
2025-12-02,"1849741859533857","1個の1118_広告セット 20251113110929をコピー","1個の251120/セミ/スマ/開催決定強化/LP2-CR00127-130",0,0,0,0,0,0.00,0
2025-12-01,"1845831556452354","251013　ノンタゲ","251013 AI タゲ CR595～CR598　二極化_SORA2",0,0,0,0,0,0.00,0
2025-12-01,"1849237315698785","2個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108",0,0,0,0,0,0.00,0
