広告ID,広告名,アカウント名,LP-CR,登録経路,出稿日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1850808068336673,"251207/清水絢吾/ヒカルさんCR/LP1-CR00686",AI_1,LP1-CR00686,"TikTok広告-AI-LP1-CR00686",2025-12-06,2025-12-08,37662.00,4,9415.50
1850922233783537,"251208/清水絢吾/スマプラ/著名人冒頭/LP2-CR00140",AI_3,LP2-CR00140,"TikTok広告-AI-LP2-CR00140",2025-12-07,2025-12-09,33132.00,6,5522.00
1851232034907250,"251208/清水絢吾/スマプラ/著名人冒頭/LP2-CR00140",AI_3,LP2-CR00140,"TikTok広告-AI-LP2-CR00140",2025-12-07,2025-12-09,0.00,6,N/A
1851001461562578,"251209/高橋海斗/後悔書くアップ冒頭/LP1-CR00694",AI_1,LP1-CR00694,"TikTok広告-AI-LP1-CR00694",2025-12-08,2025-12-10,2725.00,4,681.25
1851001350183169,"251209/高橋海斗/後悔書く/LP1-CR00695",AI_1,LP1-CR00695,"TikTok広告-AI-LP1-CR00695",2025-12-08,2025-12-10,2792.00,1,2792.00
1851000672162033,"251209/高橋海斗/Nanobanana/Google/LP1-CR00691",AI_1,LP1-CR00691,"TikTok広告-AI-LP1-CR00691",2025-12-08,2025-12-10,1222.00,2,611.00
1851000670341409,"251209/高橋海斗/Nanobanana/ChatGPT/LP1-CR00690",AI_1,LP1-CR00690,"TikTok広告-AI-LP1-CR00690",2025-12-08,2025-12-10,14371.00,2,7185.50
1851000950068289,"251209/高橋海斗/Nanobanana/日本語入りのデザイン/LP1-CR00693",AI_1,LP1-CR00693,"TikTok広告-AI-LP1-CR00693",2025-12-08,2025-12-10,1909.00,1,1909.00
1851000950068305,"251209/高橋海斗/Nanobanana/Xで話題/LP1-CR00692",AI_1,LP1-CR00692,"TikTok広告-AI-LP1-CR00692",2025-12-08,2025-12-10,9696.00,2,4848.00
1851218452227297,"251211/清水絢吾/スマプラ/箕輪＆3兆円/LP1-CR000697",AI_2,LP1-CR000697,"TikTok広告-AI-LP1-CR000697",2025-12-10,2025-12-12,13808.00,0,N/A
1851218188257345,"251211/清水絢吾/スマプラ/著名人まとめ/LP1-CR00696",AI_2,LP1-CR00696,"TikTok広告-AI-LP1-CR00696",2025-12-10,2025-12-12,45185.00,7,6455.00
1851219168911362,"251211/清水絢吾/スマプラ/AIガチャ(ピクセル1)/LP1-CR00698",AI_2,LP1-CR00698,"TikTok広告-AI-LP1-CR00698",2025-12-10,2025-12-12,50164.00,11,4560.36
1851141208117505,"251211/清水絢吾/スマプラ/AIガチャ/LP2-CR000141",AI_3,LP2-CR000141,"TikTok広告-AI-LP2-CR000141",2025-12-10,2025-12-12,54133.00,0,N/A
1851223005370418,"251211/清水絢吾/箕輪さん/冒頭③_コピー6/LP2-CR00153",AI_3,LP2-CR00153,"TikTok広告-AI-LP2-CR00153",2025-12-10,2025-12-12,748.00,0,N/A
1851223874360417,"251211/清水絢吾/箕輪さん/冒頭③_コピー3/LP2-CR00150",AI_3,LP2-CR00150,"TikTok広告-AI-LP2-CR00150",2025-12-10,2025-12-12,1717.00,0,N/A
1851223874360433,"251211/清水絢吾/箕輪さん/冒頭③_コピー2/LP2-CR00149",AI_3,LP2-CR00149,"TikTok広告-AI-LP2-CR00149",2025-12-10,2025-12-12,895.00,0,N/A
1851223874361345,"251211/清水絢吾/箕輪さん/冒頭③_コピー1/LP2-CR00148",AI_3,LP2-CR00148,"TikTok広告-AI-LP2-CR00148",2025-12-10,2025-12-12,1412.00,1,1412.00
1851223874360385,"251211/清水絢吾/箕輪さん/冒頭③_コピー5/LP2-CR00152",AI_3,LP2-CR00152,"TikTok広告-AI-LP2-CR00152",2025-12-10,2025-12-12,2349.00,2,1174.50
1851223874360401,"251211/清水絢吾/箕輪さん/冒頭③_コピー4/LP2-CR00151",AI_3,LP2-CR00151,"TikTok広告-AI-LP2-CR00151",2025-12-10,2025-12-12,900.00,2,450.00
1851223211479393,"251211/清水絢吾/ホリエモン/冒頭③_コピー2/LP2-CR00143",AI_3,LP2-CR00143,"TikTok広告-AI-LP2-CR00143",2025-12-10,2025-12-12,1274.00,0,N/A
1851223211479361,"251211/清水絢吾/ホリエモン/冒頭③_コピー4/LP2-CR00145",AI_3,LP2-CR00145,"TikTok広告-AI-LP2-CR00145",2025-12-10,2025-12-12,1167.00,1,1167.00
1851223211479377,"251211/清水絢吾/ホリエモン/冒頭③_コピー3/LP2-CR00144",AI_3,LP2-CR00144,"TikTok広告-AI-LP2-CR00144",2025-12-10,2025-12-12,755.00,0,N/A
1851222971481330,"251211/清水絢吾/ホリエモン/冒頭③_コピー6/LP2-CR00147",AI_3,LP2-CR00147,"TikTok広告-AI-LP2-CR00147",2025-12-10,2025-12-12,97.00,1,97.00
1851223211478321,"251211/清水絢吾/ホリエモン/冒頭③_コピー5/LP2-CR00146",AI_3,LP2-CR00146,"TikTok広告-AI-LP2-CR00146",2025-12-10,2025-12-12,4097.00,4,1024.25
1851223211479409,"251211/清水絢吾/ホリエモン/冒頭③_コピー1/LP2-CR00142",AI_3,LP2-CR00142,"TikTok広告-AI-LP2-CR00142",2025-12-10,2025-12-12,651.00,0,N/A
1851224743776321,"251211/清水絢吾/林社長/冒頭③_コピー2/LP2-CR00155",AI_3,LP2-CR00155,"TikTok広告-AI-LP2-CR00155",2025-12-10,2025-12-12,5389.00,4,1347.25
1851224743775377,"251211/清水絢吾/林社長/冒頭③_コピー5/LP2-CR00158",AI_3,LP2-CR00158,"TikTok広告-AI-LP2-CR00158",2025-12-10,2025-12-12,62.00,0,N/A
