広告ID,広告名,CR名,LP名,登録経路,配信開始日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1.85209E+15,251221/清水絢吾/開催決定ver2/冒頭4/LP2-CR00174,CR00174,LP2,TikTok広告-スキルプラス-LP2-CR00174,2025/12/21,2025/12/23,9753,0,N/A
1.85209E+15,251221/清水絢吾/開催決定ver2/冒頭8/LP2-CR00176,CR00176,LP2,TikTok広告-スキルプラス-LP2-CR00176,2025/12/21,2025/12/23,15133,0,N/A
1.85209E+15,251221/清水絢吾/開催決定ver2/冒頭9/LP2-CR00177,CR00177,LP2,TikTok広告-スキルプラス-LP2-CR00177,2025/12/21,2025/12/23,15054,0,N/A
1.85209E+15,251221/清水絢吾/開催決定ver2/冒頭10/LP2-CR00178,CR00178,LP2,TikTok広告-スキルプラス-LP2-CR00178,2025/12/21,2025/12/23,15016,0,N/A
1.85209E+15,251221/清水絢吾/開催決定ver2/冒頭11/LP2-CR00179,CR00179,LP2,TikTok広告-スキルプラス-LP2-CR00179,2025/12/21,2025/12/23,8830,0,N/A
1.85272E+15,251221/清水絢吾/開催決定ver2/冒頭12/LP2-CR00180,CR00180,LP2,TikTok広告-スキルプラス-LP2-CR00180,2025/12/28,2025/12/30,30080,0,N/A
1.85209E+15,251221/清水絢吾/開催決定ver2/冒頭12/LP2-CR00180,CR00180,LP2,TikTok広告-スキルプラス-LP2-CR00180,2025/12/21,2025/12/23,16350,0,N/A
1.85253E+15,251226/清水絢吾/小さな一歩//LP2-CR00181,CR00181,LP2,TikTok広告-スキルプラス-LP2-CR00181,2025/12/26,2025/12/28,15034,0,N/A
1.85328E+15,260104/清水絢吾/おい会社員_セミナー/冒頭1/演出あり/LP2-CR00183,CR00183,LP2,TikTok広告-スキルプラス-LP2-CR00183,2026/1/4,2026/1/6,14181,0,N/A
1.85328E+15,260104/清水絢吾/本質足りてない➃/LP2-CR00184,CR00184,LP2,TikTok広告-スキルプラス-LP2-CR00184,2026/1/4,2026/1/6,4268,0,N/A
1.85344E+15,260104/清水絢吾/本質足りてない/冒頭3/LP2-CR00186,CR00186,LP2,TikTok広告-スキルプラス-LP2-CR00186,2026/1/5,2026/1/7,7168,0,N/A
1.85344E+15,260104/清水絢吾/本質足りてない/冒頭2/LP2-CR00187,CR00187,LP2,TikTok広告-スキルプラス-LP2-CR00187,2026/1/5,2026/1/7,11060,0,N/A
1.85344E+15,260104/清水絢吾/本質足りてない/冒頭1/LP2-CR00188,CR00188,LP2,TikTok広告-スキルプラス-LP2-CR00188,2026/1/5,2026/1/7,8075,0,N/A
1.85344E+15,260104/清水絢吾/はいそこまで/LP2-CR00189,CR00189,LP2,TikTok広告-スキルプラス-LP2-CR00189,2026/1/5,2026/1/7,6792,0,N/A
1.85344E+15,260104/清水絢吾/おい会社員(セミナー)/演出なし/冒頭5/LP2-CR00191,CR00191,LP2,TikTok広告-スキルプラス-LP2-CR00191,2026/1/5,2026/1/7,6978,0,N/A
1.85344E+15,260104/清水絢吾/おい会社員(セミナー)/演出あり/冒頭2/LP2-CR00192,CR00192,LP2,TikTok広告-スキルプラス-LP2-CR00192,2026/1/5,2026/1/7,7108,0,N/A
