広告ID,広告名,広告タイプ,登録経路,インプレッション,クリック数,費用,CTR(%),CPM,CV数,CVR(%),CPA
1.84832E+15,＃納品_箕輪さん冒頭⑤_TT_75mlDnb6.mp4_CR00064,REGULAR,TikTok広告-スキルプラス-LP2-CR00096,440,2,384,0.45,872.73,11,550,34.91
1.84832E+15,＃納品_ホリエモン冒頭①_TT_IRa49rNE.mp4_CR00061,REGULAR,TikTok広告-スキルプラス-LP2-CR00097,80,0,53,0,662.5,0,0,0
1.84824E+15,CR00058,REGULAR,TikTok広告-スキルプラス-LP2-CR00098,5794,53,7037,0.91,1214.53,0,0,0
1.84824E+15,CR00059,REGULAR,TikTok広告-スキルプラス-LP2-CR00099,1848,12,1569,0.65,849.03,0,0,0
1.84824E+15,CR00056,REGULAR,TikTok広告-スキルプラス-LP2-CR00100,2220,18,2302,0.81,1036.94,0,0,0
1.84824E+15,CR00057,REGULAR,TikTok広告-スキルプラス-LP2-CR00101,4999,36,4849,0.72,969.99,0,0,0
1.84821E+15,CR00053,REGULAR,TikTok広告-スキルプラス-LP2-CR00102,1944,17,1380,0.87,709.88,14,82.35,98.57
1.84821E+15,CR00052,REGULAR,TikTok広告-スキルプラス-LP2-CR00103,4740,43,2564,0.91,540.93,0,0,0
1.84821E+15,CR00051,REGULAR,TikTok広告-スキルプラス-LP2-CR00104,3192,32,2033,1,636.9,0,0,0
1.84821E+15,CR00050,REGULAR,TikTok広告-スキルプラス-LP2-CR00105,1632,12,1253,0.74,767.77,1,8.33,1253
1.84821E+15,CR00049,REGULAR,TikTok広告-スキルプラス-LP2-CR00106,1905,22,1373,1.15,720.73,0,0,0
1.84821E+15,CR00048,REGULAR,TikTok広告-スキルプラス-LP2-CR00107,4660,40,3099,0.86,665.02,17,42.5,182.29
1.84821E+15,CR00047,REGULAR,TikTok広告-スキルプラス-LP2-CR00108,1255,4,714,0.32,568.92,2,50,357
1.84821E+15,CR00046,REGULAR,TikTok広告-スキルプラス-LP2-CR00109,1438,12,1519,0.83,1056.33,1,8.33,1519
1.84821E+15,CR00045,REGULAR,TikTok広告-スキルプラス-LP2-CR00110,2354,23,1378,0.98,585.39,4,17.39,344.5
1.84821E+15,CR00054,REGULAR,TikTok広告-スキルプラス-LP2-CR00111,1655,13,1207,0.79,729.31,0,0,0
1.84774E+15,251103/清水絢吾/3兆円企業//LP2-CR00022,REGULAR,TikTok広告-スキルプラス-LP2-CR00112,26785,254,22163,0.95,827.44,2,0.79,11081.5
1.8474E+15,251030/清水絢吾/本質足りていない(セミナー)/冒頭④/LP2-CR00019,REGULAR,TikTok広告-スキルプラス-LP2-CR00113,12010,105,11657,0.87,970.61,6,5.71,1942.83
1.8474E+15,251030/清水絢吾/本質足りていない(セミナー)/冒頭③/LP2-CR00019,REGULAR,TikTok広告-スキルプラス-LP2-CR00114,5312,41,5981,0.77,1125.94,6,14.63,996.83
1.8474E+15,251030/清水絢吾/本質足りていない(セミナー)/冒頭②/LP2-CR00019,REGULAR,TikTok広告-スキルプラス-LP2-CR00115,5970,62,4725,1.04,791.46,6,9.68,787.5
1.8474E+15,251030/清水絢吾/本質足りていない(セミナー)/冒頭①/LP2-CR00019,REGULAR,TikTok広告-スキルプラス-LP2-CR00116,19222,218,8693,1.13,452.24,6,2.75,1448.83
1.84737E+15,251023/清水絢吾/はいそこまで(外)/LP2-CR00017,REGULAR,TikTok広告-スキルプラス-LP2-CR00117,58155,369,40054,0.63,688.75,24,6.5,1668.92
1.84683E+15,251019/清水絢吾/ドキッとすることをいうやつ(セミナー/BGMあり/LP2-CR00014,REGULAR,TikTok広告-スキルプラス-LP2-CR00118,8215,40,14328,0.49,1744.13,10,25,1432.8
